gen,best,avg
146,1083.9198730114877,387.58231588243456
147,1112.6308338696829,428.10876320086163
148,1113.334381352842,325.50163112630133
149,1133.7609318319815,387.89667372336896
150,1173.8177985135333,419.78494501924524
151,1177.237483316838,304.71474667498336
152,1128.8121165141256,247.42888024274848
153,1168.6430938252897,400.02240789721225
154,1127.1381366237306,274.9370028509244
155,1137.8213409160837,328.0190496974313
156,1130.4546157723655,314.98129606555705
157,1119.1847084458734,360.4279265144689
158,1169.4538174594784,236.8506217210043
159,1117.1769685979473,279.8972652447127
160,1123.8187344168605,390.04177760234404
161,1164.03738030283,318.94541217194467
162,1115.9638432589431,298.3234390465098
163,1134.320940398881,436.81751204028916
164,1171.8623260608854,366.69289052027756
165,1122.0042375638727,327.5359761487648
166,1122.4127513667065,284.4091945363026
167,1131.3216967197682,386.7763324870667
168,1169.0934965577112,392.7374191684345
169,1165.157141726557,268.08421376972785
170,1135.0770133269202,235.29457572503026
171,1118.3696386858571,245.86203381490714
172,1181.1886719396682,434.2338655306802
173,1161.3911548251092,345.38299926466516
174,1125.7722246298622,355.45081721212347
175,1136.7974036118865,342.50176617093376
176,1128.6092505843528,299.92925141959415
177,1128.2466024579699,287.43608903533266
178,1126.7944376099354,301.74334941800294
179,1122.5628159096918,382.8325137050063
180,1174.2394975986326,426.78804661390797
181,1158.522809726615,350.26844247310856
182,1175.1621623395852,395.5428084752777
183,1134.4250960218508,331.4145740142709
184,1122.1974190717956,376.52845750252146
185,1167.8056498892358,385.2136641252608
186,1163.7631812161744,242.90053339717807
187,1165.9467849280884,351.8904863369916
188,1132.2833495624423,268.71148552954674
189,1134.1356838675672,377.2688035436282
190,1131.6380008586855,316.94040546728536
191,1166.0024272173084,288.68070783557584
192,1171.6238309028224,329.7213991390248
193,1161.4901762795773,388.04790407998905
194,1125.6062547929173,264.0434443206268
195,1082.9122134583874,292.1330854383735
196,1196.2566315302076,283.8120676341273
197,1172.9307010198347,321.032859356168
198,1170.8837021264171,357.323186375964
199,1199.8511271147042,332.6246186940085
200,1169.933103103783,317.0612260676231
201,1197.3690775215669,432.51645962368
202,1166.0390592216058,301.17630211592626
203,1202.4457918653875,324.2696951622841
204,1172.0615889010858,315.6882826539557
205,1199.4367393718942,346.3594680634904
206,1232.40623179726,331.4825889485047
207,1233.3854498355533,254.73657813999725
208,1165.0073988465222,333.3500092088123
209,1173.7974144944578,351.7273505887821
210,1164.763614543191,353.52192370438354
211,1168.8235046058157,287.57123947095334
212,1204.175823913756,293.3902981647656
213,1168.303975465726,258.3429745812409
214,1173.0071723842493,312.13819789767274
215,1201.2326129106218,343.2303765225994
216,1165.1647446694965,381.84072592941374
217,1164.6754880725327,383.3249033626963
218,1173.1754539913272,310.75101584144977
219,1198.2981773265744,375.09941370332444
220,1201.5682340076146,283.6601026815033
221,1167.5212685793383,301.9256208562027
222,1208.5867000057701,255.27135544069606
223,1207.2705757733083,367.1783608123588
224,1164.5159421063197,285.59282077631303
225,1198.98982885863,356.3106741128082
226,1170.9620678462202,312.5385971123186
227,1167.3925531301343,374.32429025962915
228,1172.599206674688,296.62533853860094
229,1201.5991871324288,312.2067169337182
230,1196.3322845542439,323.90185799347336
231,1163.764444403263,300.78116520567215
232,1202.3320860310648,319.0953572822045
233,1199.752365807355,218.25970440249557
234,1165.2118044460183,337.606179689329
235,1233.1477110037388,306.0679640595079
236,1169.9935618682034,280.0496568590992
237,1200.9682662228265,374.6641524514499
238,1166.6769058890213,324.6132549523716
239,1166.2320846629802,291.1550702570747
240,1199.232948746247,284.6041348200531
241,1235.3485111558823,312.1640686789576
242,1165.2627241002947,210.41676766508485
243,1165.8491980778244,343.10593779412596
244,1166.4272246074554,264.3539871454667
245,1206.3066822036624,288.7040133966054
246,1201.547495919029,387.5557632431161
247,1134.8976681397999,307.55611453066786
248,1206.7223834123133,347.65957369323024
249,1200.375200385966,259.25855961599825
250,1174.2300077195894,269.30929963868994
251,1202.2999080676482,336.6661773009663
252,1201.1097699674435,314.04521657540056
253,1202.15297180308,333.35453378026597
254,1173.1368963338819,343.50687168953425
255,1201.6789246919807,283.58551504651024
256,1167.69884459431,377.53216692635846
257,1199.6270931979934,325.42715669974314
258,1204.2188230135555,324.5756626094436
259,1206.2401634169537,243.9183457060164
260,1196.3808010701384,342.16893866081546
261,1200.6130459398537,330.9706279123279
262,1170.6529640783413,304.02089806217816
263,1207.1125310186126,438.8973353868432
264,1171.273817528817,231.3860168299089
265,1197.7179666863162,274.149827534911
266,1172.5021170376244,290.29815790657983
267,1170.006232149026,262.2475486493311
268,1201.2789086153496,324.02695264979377
269,1171.6620651061098,330.3287003772641
270,1200.0760305782478,297.7536695737523
271,1202.930980600597,308.77917094967233
272,1200.4948856024728,257.34138672929186
273,1206.4817360756783,297.119081271317
274,1172.4645836404163,320.31607440816396
275,1164.833363140744,278.25927091644814
276,1165.635740148342,303.6274442245756
277,1172.3792704515981,300.4051422703984
278,1199.3395863808573,301.09997331643297
279,1170.9913661350854,305.4792551588879
280,1206.8235542999275,313.25969594196965
281,1230.542676753757,282.2742619056276
282,1201.5394156737743,308.762021465653
283,1176.8878849897228,237.62940572329677
284,1205.4552974233331,320.53835869214885
285,1167.6199988106403,250.90766500931667
286,1201.3526783326238,301.1824563666486
287,1172.2503516272875,347.3539278604714
288,1198.745138123819,279.16336920860203
289,1169.5742187180242,328.75302058169757
290,1203.2622563718617,404.8214103227368
291,1201.954300439888,330.5118614850399
292,1169.505278365309,249.2700664801558
293,1162.8249020639678,297.1398045660765
294,1167.549616202287,290.613519541047
295,1199.6481426031319,300.2402382951632
296,1199.3925047931673,395.22590203904457
297,1166.6316813373028,262.6484399315103
298,1169.3458155259284,258.80670968673905
299,1199.8078026764792,318.5734540379892
300,1165.0723698740958,290.2121545857518
301,1169.636287453064,233.40016832683506
302,1173.511604983676,312.3825801854497
303,1200.8063477541539,296.82731182841536
304,1202.6286437960152,276.92874572798326
305,1171.2478462626705,210.08950684491828
306,1168.9758740569287,234.32845275393066
307,1200.3620066568271,285.5831223779942
308,1163.2291523279457,326.8792009710146
309,1173.2424182713153,205.77662373453194
310,1199.974829909394,305.83416420149945
311,1171.080213382028,299.2421647137794
312,1200.9558455890517,237.5396195035678
313,1165.3652630701072,242.973505371542
